texte;ents_str;ents_idx
J'ai préparé une soupe au poulet et aux carottes;['poulet', 'carottes', 'soupe'];[(26, 32), (40, 48), (17, 22)]
Le ragoût de bœuf aux champignons était délicieux;['bœuf', 'champignons', 'ragoût'];[(13, 17), (22, 33), (3, 9)]
Les pâtes à la sauce tomate et basilic étaient incroyables;['pâtes', 'sauce tomate', 'basilic'];[(4, 9), (15, 27), (31, 38)]
Les croissants au jambon et au fromage sont une option délicieuse pour le petit déjeuner;['croissants', 'jambon', 'fromage', 'petit déjeuner'];[(4, 14), (18, 24), (31, 38), (74, 88)]
Le gâteau au chocolat et à la noix de coco est un régal pour les amateurs de sucreries;['gâteau', 'chocolat', 'noix de coco', 'sucreries'];[(3, 9), (13, 21), (30, 42), (77, 86)]
J'ai préparé une salade de fruits frais à la mangue et melon;['salade de fruits', 'mangue', 'melon'];[(17, 33), (45, 51), (55, 60)]
Le risotto aux champignons est la spécialité de l'un de mes restaurants préférés;['risotto', 'champignons', 'spécialité'];[(3, 10), (15, 26), (34, 44)]
Le poisson grillé au beurre et au citron est une option saine pour le dîner;['poisson grillé', 'beurre', 'citron', 'dîner'];[(3, 17), (21, 27), (34, 40), (70, 75)]
Les tacos de poisson et de mangue sont un délicieux plat d'été;['tacos', 'poisson', 'mangue', 'été'];[(4, 9), (13, 20), (27, 33), (59, 62)]
La quiche aux épinards et au fromage est une excellente option végétarienne;['quiche', 'épinards', 'fromage', 'végétarienne'];[(3, 9), (14, 22), (29, 36), (63, 75)]
La salade de lentilles et de légumes est une option délicieuse et saine;['salade de lentilles', 'légumes', 'saine'];[(3, 22), (29, 36), (66, 71)]
Les pâtisseries aux pommes et à la cannelle sont parfaites pour le petit déjeuner;['pâtisseries', 'pommes', 'cannelle', 'petit déjeuner'];[(4, 15), (20, 26), (35, 43), (67, 81)]
La sauce barbecue maison sur les côtes levées est la touche parfaite pour un barbecue;['sauce barbecue', 'côtes levées', 'barbecue'];[(3, 17), (33, 45), (9, 17)]
Les brochettes de poulet et de légumes sont légères et saines;['brochettes', 'poulet', 'légumes', 'saines'];[(4, 14), (18, 24), (31, 38), (55, 61)]
Le curry de poulet et de légumes est une option savoureuse pour un dîner rapide;['curry', 'poulet', 'légumes', 'dîner rapide'];[(3, 8), (12, 18), (25, 32), (67, 79)]
Les kebabs d'agneau et de légumes sont un délicieux plat pour les soirées d'été;"['kebabs', 'agneau', 'légumes', ""soirées d'été""]";[(4, 10), (13, 19), (26, 33), (66, 79)]
Le ravioli aux épinards et au parmesan est un plat italien classique;['ravioli', 'épinards', 'parmesan', 'plat italien'];[(3, 10), (15, 23), (30, 38), (46, 58)]
Les beignets à la banane et à la noix de coco sont un dessert décadent;['beignets', 'banane', 'noix de coco', 'dessert décadent'];[(4, 12), (18, 24), (33, 45), (54, 70)]
Le saumon grillé et asperges est un plat léger pour une soirée d'été;"['saumon', 'asperges', ""soirée d'été""]";[(3, 9), (20, 28), (56, 68)]
Le burger au fromage avec des oignons caramélisés est savoureux;['burger', 'fromage', 'oignons caramélisés', 'savoureux'];[(3, 9), (13, 20), (30, 49), (54, 63)]
Les gaufres de pommes de terre et de fromage sont un excellent petit déjeuner copieux;['gaufres', 'pommes de terre', 'fromage', 'petit déjeuner copieux'];[(4, 11), (15, 30), (37, 44), (63, 85)]
Les médaillons de boeuf accompagnés de champignons et de poivrons sont une option parfaite pour un dîner sophistiqué;['médaillons de boeuf', 'champignons', 'poivrons', 'dîner sophistiqué'];[(4, 23), (39, 50), (57, 65), (99, 116)]
La quiche lorraine est une délicieuse option pour le déjeuner;['quiche lorraine', 'déjeuner'];[(3, 18), (53, 61)]
Les muffins aux myrtilles et à la pistache sont une option gourmande pour le petit déjeuner;['muffins', 'myrtilles', 'pistache', 'petit déjeuner'];[(4, 11), (16, 25), (34, 42), (77, 91)]
La salade César aux crevettes est une option saine et délicieuse;['salade César', 'crevettes', 'saines'];[(3, 15), (20, 29)]
Le poulet rôti aux pommes de terre et aux carottes est un classique de la cuisine maison;['poulet rôti', 'pommes de terre', 'carottes', 'cuisine maison'];[(3, 14), (19, 34), (42, 50), (74, 88)]
Les spaghettis aux boulettes de viande sont une option réconfortante pour le dîner;['spaghettis', 'boulettes de viande', 'dîner réconfortant'];[(4, 14), (19, 38)]
Le velouté de tomates et basilic est un incontournable de l'hiver;['velouté', 'tomates', 'basilic', 'hiver'];[(3, 10), (14, 21), (25, 32), (60, 65)]
Les quesadillas au fromage et aux poivrons sont un excellent choix pour un déjeuner rapide;['quesadillas', 'fromage', 'poivrons', 'déjeuner rapide'];[(4, 15), (19, 26), (34, 42), (75, 90)]
Les tacos végétariens aux haricots noirs et au maïs sont une option délicieuse pour les végétariens;['tacos végétariens', 'haricots noirs', 'maïs', 'végétariens'];[(4, 21), (26, 40), (47, 51), (10, 21)]
Le confit de canard aux figues est une option sophistiquée pour un dîner spécial;['confit de canard', 'figues', 'dîner spécial'];[(3, 19), (24, 30), (67, 80)]
Les crêpes aux fraises et au Nutella sont un dessert indulgent;['crêpes', 'fraises', 'Nutella', 'dessert indulgent'];[(4, 10), (15, 22), (29, 36), (45, 62)]
Les croquettes de poulet et de pommes de terre sont un excellent choix pour les enfants;['croquettes de poulet', 'pommes de terre', 'enfants'];[(4, 24), (31, 46), (80, 87)]
